Run,Generation,Firefly,C,Gamma,Fitness,Diversity
1,0,0,5.65133183589209,0.0696650823876892,0.8505008560985824,2.593984822467369
1,0,1,9.224993811772958,0.0707238634313398,0.8515001688952973,4.3449529685624135
1,0,2,1.5253904291426137,0.0576288360166813,0.8497510434580159,3.962403048530939
1,0,3,6.067150463828559,0.0424130671302386,0.8502507935829534,2.7252268463277867
1,0,4,7.3644423562472285,0.0934367014769014,0.8512502938328285,3.2717400842774027
1,0,5,9.255685129067764,0.0450839371404132,0.8512502938328285,4.373533671926228
1,0,6,1.1323804584075523,0.0984841198962334,0.8497508560048558,4.293735654530825
1,0,7,8.388980864459342,0.0124662681203266,0.8515003563484574,3.8111244614181423
1,0,8,9.208418826173723,0.0869896362062128,0.8512502938328285,4.332790031233389
1,0,9,5.188380571260721,0.0591275435744929,0.8505008560985824,2.4965009174116246
1,0,10,3.990027038701303,0.0054761638822031,0.8505008560985824,2.5072558744929334
1,0,11,3.351972416459009,0.0802853448598011,0.8505008560985824,2.7839927685471033
1,0,12,0.0463202300460285,0.0333499171691144,0.8485007308798714,5.322245350510175
1,0,13,3.981686935909433,0.0537395602937922,0.8505008560985824,2.5084735122020785
1,0,14,9.198556164127606,0.0346345994365961,0.8512502938328285,4.3251742911064515
1,0,15,3.469532018962277,0.0737501248109748,0.8505008560985824,2.7220766603672444
1,0,16,4.522179408898071,0.0224604822939981,0.8505008560985824,2.427478578097666
1,0,17,4.524395161326934,0.0140857020379799,0.8505008560985824,2.4277378129751797
1,0,18,1.763869865062233,0.0498367772739479,0.8497508560048558,3.786672578466437
1,0,19,4.189254495045479,0.09148459010681,0.8505008560985824,2.4635043641831533
1,1,0,5.448296865684931,0.0572746836266175,0.8505008560985824,2.498203819131992
1,1,1,9.15844586414942,0.0552546578378422,0.8515001688952973,4.275087207707299
1,1,2,1.570571297696122,0.0561549735977127,0.8497510434580159,3.8934430992053466
1,1,3,6.010640331128871,0.0414624066714052,0.8502507935829534,2.675736584622525
1,1,4,7.414652212920582,0.085514433047865,0.8512502938328285,3.267234590506022
1,1,5,9.178883730472707,0.0405352704823905,0.8512502938328285,4.294305498168663
1,1,6,1.292872981881534,0.0853391490358372,0.8497508560048558,4.127549624730379
1,1,7,8.388980864459342,0.0124662681203266,0.8515003563484574,3.7800438973491266
1,1,8,9.118242239483015,0.0600304872714882,0.8512502938328285,4.242143452431418
1,1,9,5.027532510109366,0.0475056986673865,0.8505008560985824,2.4096170373266133
