run,generation,C,gamma,fitness,seed
1,0,30.96789317615409,0.0067874411712245,0.8537500000000001,1001
1,1,30.96789317615409,0.0067874411712245,0.8537500000000001,1001
1,2,9.374634063302771,0.0105019702576279,0.8537500000000001,1001
1,3,85.67648277932939,0.009420707676697,0.8542500000000001,1001
1,4,85.67648277932939,0.009420707676697,0.8542500000000001,1001
1,5,23.94710874626352,0.0047784194816435,0.8542500000000001,1001
2,0,74.45943463882331,0.0037760265381757,0.8552499999999998,1002
2,1,9.548789002032656,0.0411801698505209,0.84925,1002
2,2,74.43242843655295,0.0091319853114835,0.853,1002
2,3,74.43713431695303,0.003821756999435,0.8557499999999999,1002
2,4,17.275025714476445,0.0066628999956487,0.8539999999999999,1002
2,5,17.275025714476445,0.0091319853114835,0.853,1002
3,0,76.67379503739585,0.0148238609266639,0.8480000000000001,1003
3,1,76.67811096180267,0.006422136959424,0.8537500000000001,1003
3,2,38.851468975670834,0.006422136959424,0.8542500000000001,1003
3,3,38.851468975670834,0.006422136959424,0.8542500000000001,1003
3,4,76.66745712140745,0.0045927383397882,0.8550000000000001,1003
3,5,76.66745712140745,0.0045927383397882,0.8550000000000001,1003
4,0,81.06158786524203,0.0070950962915295,0.8525,1004
4,1,14.28046431272324,0.0270914317108993,0.8535,1004
4,2,65.39520471225515,0.0070950962915295,0.8537500000000001,1004
4,3,44.19173121493759,0.0040196941095359,0.8540000000000001,1004
4,4,44.19173121493759,0.007802842763781,0.8545,1004
4,5,44.19173121493759,0.007802842763781,0.8545,1004
5,0,43.86005990886496,0.0073370334892805,0.8539999999999999,1005
5,1,32.89948735126432,0.0073370334892805,0.85375,1005
5,2,32.89948735126432,0.0073370334892805,0.85375,1005
5,3,32.89948735126432,0.0073370334892805,0.85375,1005
5,4,32.90821934403546,0.0092246681688595,0.8542500000000001,1005
5,5,32.90821934403546,0.0092246681688595,0.8542500000000001,1005
6,0,25.317211016328294,0.0189543570391361,0.853,1006
6,1,32.955593719008725,0.0162650283883257,0.85375,1006
6,2,32.955593719008725,0.0162650283883257,0.85375,1006
6,3,32.967450509784925,0.0079687052722928,0.8542500000000001,1006
6,4,32.967450509784925,0.0079687052722928,0.8542500000000001,1006
6,5,32.967450509784925,0.0079687052722928,0.8542500000000001,1006
7,0,21.126232729532997,0.0284780474779436,0.8492500000000002,1007
7,1,3.88759282316899,0.0199430634304333,0.85175,1007
7,2,29.41787377332584,0.0199430634304333,0.8524999999999998,1007
7,3,29.458814715738846,0.0094436399102344,0.8540000000000001,1007
7,4,29.458814715738846,0.0094436399102344,0.8540000000000001,1007
7,5,29.458814715738846,0.0094436399102344,0.8540000000000001,1007
8,0,67.81171983567138,0.0087297775919682,0.8525,1008
8,1,8.496374483228912,0.0068648738159615,0.85275,1008
8,2,60.92405674018509,0.0027685624264977,0.8547499999999999,1008
8,3,67.85616126473145,0.0061413790475305,0.8552500000000001,1008
8,4,67.85616126473145,0.0061413790475305,0.8552500000000001,1008
8,5,67.85616126473145,0.0061413790475305,0.8552500000000001,1008
9,0,63.81676694700784,0.0366008188962167,0.83675,1009
9,1,36.84349893218528,0.0130656048468588,0.8535,1009
9,2,45.88518940608383,0.0130656048468588,0.8545,1009
9,3,45.88518940608383,0.0130656048468588,0.8545,1009
9,4,36.85210800509491,0.0075228944302452,0.8545000000000001,1009
9,5,45.93170768408974,0.0075228944302452,0.8547500000000001,1009
10,0,35.19162872051235,0.0346252970565425,0.8424999999999999,1010
10,1,48.11573223571173,0.002649100462715,0.8525,1010
10,2,48.14947875076844,0.0074366884161351,0.8550000000000001,1010
10,3,15.998079570037133,0.0074366884161351,0.8537500000000001,1010
10,4,22.036306712741204,0.0054260164846971,0.8542500000000001,1010
10,5,22.036306712741204,0.0054260164846971,0.8542500000000001,1010
11,0,50.98539939316054,0.0270794553864488,0.8440000000000001,1011
11,1,0.9719217879483214,0.146746161338336,0.8487500000000001,1011
11,2,30.68975613960543,0.0129075254645663,0.8532499999999998,1011
11,3,57.22929447808622,0.0108023745363583,0.85375,1011
11,4,30.68975613960543,0.007616425355117,0.8539999999999999,1011
11,5,30.68975613960543,0.007616425355117,0.8539999999999999,1011
12,0,73.55045740583668,0.0035825520168916,0.8552500000000001,1012
12,1,73.55045740583668,0.0046530861394014,0.8552500000000001,1012
12,2,73.55045740583668,0.0046530861394014,0.8552500000000001,1012
12,3,73.55045740583668,0.0046530861394014,0.8552500000000001,1012
12,4,73.55045740583668,0.0046530861394014,0.8552500000000001,1012
12,5,73.55045740583668,0.0046530861394014,0.8552500000000001,1012
13,0,98.97931379037848,0.0049692637468818,0.8554999999999999,1013
